명칭,전화번호,주소,개요,규모,수용 가능 인원,객실 수,객실 유형,주차 가능,조리 가능,체크인,체크아웃,예약 안내,예약안내 홈페이지,픽업서비스,식음료장
현대모텔,033-482-1233,강원특별자치도 양구군 양구읍 관공서로 15-1,양구 시내에 위치한 현대모텔은 시외버스터미널 바로 옆에 위치해 있으며 지상 4층/ 지하 1층 규모의 모텔로 2~4층이 모텔이다. 최신 시설의 깨끗함과 청결함으로 엘리베이터의 편리함이 더해 스포츠 단체팀 숙소로도 인기가 좋다. 객실은 일반침대(퀸)/ 트윈침대(퀸+슈퍼싱글)/ 일반온돌(2인)/ 온돌대(4인) 4가지 타입으로 구분되어 있어 인원과 스타일에 맞게 선택하실 수 있다. 또한 군인가족 면회 시 초고속 인터넷과 Wi-Fi/ Qook-TV 등으로 편안함을 제공하며/ 터미널 주변이다 보니 다양한 음식점들이 밀집해 있다. 2사단 신병교육대(노도부대)까지 약 10분/ 21사단 신병교육대(백두산부대)까지 약 20분 소요된다.,지상 4층/지하 1층,50명,25실,침대룸(일반/트윈)/ 온돌(일반/대형),주차 가능(총 10대),불가,별도문의,익일 11:00,033-482-1233,"<a href=""http://hyundaimotel.ad-media.kr/main"" target=""_blank"" title=""새창 : 현대모텔 홈페이지로 이동"">http://hyundaimotel.ad-media.kr/main</a>",nan,nan
송이모텔,033-671-4488,강원특별자치도 양양군 강현면 일출로 34,양양 낙산해수욕장 내에 위치한 콘도식 송이모텔은 아늑하고 깨끗한 공간과 다양한 편의시설이 갖추어져 있다. 바다가 손에 잡힐 듯 객실에서 장엄한 일출을 볼 수 있는 곳이다.,지상 4층,50명,25실,nan,주차 가능,가능,14:00,12:00,033-671-4488,"<a href=""http://www.songie.com"" target=""_blank"" title=""새창 : 송이모텔 홈페이지로 이동"">http://www.songie.com</a>",nan,nan
꿈의궁전모텔,033-458-6153,강원특별자치도 철원군 서면 와수1로 7,꿈의궁전모텔은 강원도 철원군에 위치한 모텔로/ 북주산 자연휴양림이 근거리에 자리하고 있으며 안보 관광의 중심지에 있다. 북주산 자연휴양림이 입산 통제에서 해제된 지 얼마 안 된 곳이라 오염되지 않은 천혜의 자연을 간직하고 있어 아름다운 자연경관을 감상할 수 있는 곳이다. 지상 6층으로 건립된 모텔은 24개의 다양한 형태의 객실이 마련되어 있고 카페/ 헬스장/ 세탁실과 같은 부대 시설이 갖추어져 있으며 객실 내 취사는 불가하다. 주변에 철원 DMZ 안보 견학/ 삼부연폭포/ 심원사/ 한탄강 주상절리 등 다양한 관광지를 둘러볼 수 있다.,지상 6층,60명,24실,nan,주차 가능,불가,13:00,익일 12:00,033-458-6153,nan,nan,nan
대명관광호텔,nan,강원특별자치도 철원군 서면 와수로181번길 15,"대명관광호텔은 강원도 철원군 서면에 위치한 3성급 호텔이다. 호텔은 복주산 자연휴양림과 인접해 있으며/ 승리 전망대와도 가까운 거리에 있어 철원의 안보 관광을 즐길 수 있다. 6층 규모로/ 총 48개의 객실을 보유하고 있으며/ 객실 유형은 일반실/ 특실/ 스위트룸으로 나뉜다. 객실에는 에어컨/ TV/ 인터넷/ 냉장고/ 세면도구/ 드라이기 등이 구비되어 있다. 레스토랑/ 연회장/ 피트니스 센터 등의 부대 시설이 마련되어 있으며 회의나 세미나 등을 진행할 수 있는 비즈니스센터 등도 있다. 호텔은 철원 시외버스터미널에서 차로 약 20분 거리에 있다.
호텔 주변에는 관광명소가 많다. 북한의 전통문화를 체험할 수 있는 곳으로/ 북한 민가와 농기구/ 의상 등을 볼 수 있는 쉬리마을과 한탄강의 협곡으로/ 맑은 물과 울창한 숲을 감상할 수 있는 순담계곡도 주변에 있어 함께 둘러볼 만하다. 이 호텔에서는 카트조이와 연계하여 카트 레저 스포츠를 즐길 수 있는 패키지 상품도 제공하고 있다.",지하 1층 ~ 지상 6층,180명,48실,일반실/ 특실/ 스위트룸,주차 가능,불가,14:00,익일 11:00,전화문의 033-458-8080,nan,nan,식당
리젠트모텔,033-251-2274,강원특별자치도 춘천시 공지로461번길 14(근화동),춘천시 근화동에 위치한 리젠트모텔은 지상 5층 규모의 22개의 객실을 갖춘 아늑한 모텔이다. 공지천유원지가 가까운 거리에 위치하였고 소양강댐이 차량으로 20분 거리에 위치하여 이동이 편리하고 주변의 다양한 먹거리와 다양한 체험을 즐기기에 용이하다.,지상 5층,50명,22실,nan,주차 가능,불가,14:00,12:00,033-251-2274,nan,nan,nan
큐모텔,033-256-4334,강원특별자치도 춘천시 춘천로186번길 10,모텔 큐는 춘천시 팔호광장 인근에 위치한 지상 5층의 모텔이다. 춘천시내 중심가에 위치하여 이동이 편리하고 고급스러운 객실 내부와 품격 있는 서비스를 제공한다. 도청/ 시청 등 주요 관공서와 극장/ 먹을거리 등이 인접해있어 비즈니스 목적으로 춘천을 찾는 여행객들이 숙박하기 좋은 곳이다.,지상 5층,60명,27실,nan,주차 가능,불가,15:00,익일 11:00,033-256-4334,nan,nan,nan
테마모텔,033-254-0355<br />033-254-0356,강원특별자치도 춘천시 방송길36번길 73-10(근화동),강원 춘천시 근화동에 위치한 테마모텔 주변에는 물시계전시관/ 에티오피아 한국전 참전기념관/ 춘천시립도서관/ 윤희순여사 동상/ 공지천 유원지/ 향토공예관/ 춘천남부시장/ 풍물시장/ 춘천중앙시장/ 춘천제일시장/ 춘천문화예술회관/ 춘천지구 전적비 등이 있다.,지상 5층,70명,25실,일반실/ 특실,주차 가능,불가,14:00,12:00,033-254-0355,nan,nan,nan
갤러리하우스모텔,033-441-7999,강원특별자치도 화천군 화천읍 중앙로2길 31-10,갤러리하우스모텔은 깨끗하고 아늑한 분위기로 이용객에 불편이 없도록 평면TV/ 냉장고/ 에어컨/ 인터넷 PC 등 편의시설이 갖추어져 있다. 시내중심에 위치해 음식점과 프랜차이점들 이용시 편리한 장점이 있다. 공용시외버스터미널에서 도보 2분거리이며 산천어축제장/ 쪽배축제장과 가까운 거리에 위치하고 있다. 아울러 넓은 주차장을 구비하여 주차시 편리하다.,3층,70명,30실,일반실/ 특실,주차가능,불가,12:30,12:00,033-441-7999,nan,nan,nan
양덕드림빌 펜션,033-432-8199,강원특별자치도 홍천군 남면 화전들길 59-29,강원도 홍천군 남면 산자락에 위치한 양덕드림빌 펜션은 양덕원과 5분 거리이며 대명 콘도와는 10분 거리에 있다. 개구리/ 가재가 서식하는 하천의 수질은 1급수이며 농촌 휴양 시설로 20여 년을 가꾼 66/000㎡에는 잣나무와 낙엽송이 빽빽이 들어서 있으며 건물을 배경으로 옆쪽과 뒤쪽이 울창한 산으로 둘러싸여 있다.,본관(2층)/ 별관(2층),40명,5실,nan,주차 가능,가능,13:00,11:00,033-432-8199,nan,nan,바비큐장
모비딕 모텔,033-671-1155,강원특별자치도 양양군 현남면 남애안길 22,"동해안 바닷가 언덕 위에 위치한 모비딕 모텔은 고품격 인테리어와 서비스를 갖추고 있으며 전 객실에서 일출 및 바다 전경을 볼 수 있다.
객실마다 한 면 전체가 통창으로 되어있어 오션뷰를 바라보며 휴식을 취할 수 있으며/ 발코니로 나가면 시원한 바닷바람과 아름다운 동해바다를 즐길 수 있다.
객실은 한식/ 양식/ 스위트룸으로 구성되어 있으며/ 식당과 공동취사장 시설을 갖추고 있다. 객실 내 취사는 금지이다.
주변에 양양고인돌캠프장/ 어성전숲속수련장 등이 있다.",nan,122명,31실,한실/ 양실/ 스위트,주차 가능,불가,14:00,익일 12:00,033-671-1155,"<a href=""http://www.movidic.com"" target=""_blank"" title=""새창 : 모비딕 모텔 홈페이지로 이동"">http://www.movidic.com</a>",nan,식당 / 공동취사장
W모텔(구 쉘모텔),032-937-8235,인천광역시 강화군 길상면 해안남로 13-15,"서울에서 가까운 강화도는 1~2시간이면 바다를 볼 수 있어 많은 사람들이 찾는 관광지이다. 강화도로 들어가는 2개의 다리 중 하나인 초지대교를 지나 좌측으로 조금만 가면 W모텔이 나온다. 
W모텔은 전 객실에서 바다를 바라볼 수 있다는 점이 가장 큰 특징이라 할 수 있다. 또한 초지대교에서 1분 거리에 있어 교통도 편리한 편이다. W모텔은 강화도 동쪽에 자리하고 있어 다른 서해에서처럼 아름다운 일몰을 감상할 수 있는 것이 아니라 일출을 볼 수 있는 특이한 곳이다.",nan,nan,40실,일반/ 준특실/ 특실/ vip,가능,불가,18:00,익일 12:00,032-937-8235,nan,nan,nan
강변의수채화 펜션,010-2679-3536,강원특별자치도 홍천군 북방면 노일로310번길 15,강원도 홍천 노일강변에 위치한 강변의 수채화 펜션은 테라스에서 바라보는 안개 낀 강변과 해 질 무렵 붉은 노을이 아름다운 펜션이다.  객실에서 창을 열면 노일강의 금빛 물결이 방안으로 들어온다. 뒤쪽으로는 금학산 자락이 펜션을 병풍처럼 감싸고 있어 멀리서 바라보면 아늑한 느낌을 준다. 객실은 모두 5개로 모두 꽃 이름으로 지었다. 대부분의 손님이 연인들이고 여름에는 가족여행으로도 많이 찾는 펜션이다.,nan,약 20명,5실,커플룸/ 가족룸/ 단체룸,주차가능,가능,15:00,익일 11:00,010-2679-3536,"<a href=""http://www.xn--939a392aj4du7fb4gvzq.com/"" target=""_blank"" title=""새창 : 강변의수채화 펜션 홈페이지로 이동"">http://www.강변의수채화.com</a>",가능(사전문의/유료),nan
숲속의강촌,010-7183-7995,강원특별자치도 춘천시 남산면 강촌로 186-3,숲속의강촌 펜션은 스키/ 수상 레져/ 자전거/ 오토바이/ 사륜오토바이 등 다양한 레포츠를 즐길 수 있는 곳에 위치하고 있다. 숲속의강촌 펜션은 커플전용으로 운영하고 있으며 커플을 위한 다양한 이벤트도 제공한다. 주변에 강촌리조트/ 문배마을/ 구곡폭포/ 남이섬 등의 관광지가 있다.,nan,57명,14실,nan,주차 가능,가능,15:00,익일 11:00,010-7183-7995,"<a href=""http://www.xn--939a302beoaz8nv7h.com/"" target=""_blank"" title=""새창 : 숲속의강촌 홈페이지로 이동"">http://www.숲속의강촌.com</a>",nan,nan
자연향기펜션,010-9085-7324,경기도 양평군 서종면 바치울길 151-12,"북한강 변 드라이브 코스로 유명한 양수리에 있는 자연향기펜션은 집 전체를 빌려주는 독채형 펜션이다. 여러 가족 모임/ 동호회/ 회사 워크숍 등의 목적으로 펜션을 많이 이용한다. 펜션이 모여있는 곳도 아니고/ 자연 속에 있어 다른 사람들의 방해를 받지 않는다는 장점이 있다. 넓은 창으로 들어오는 아침햇살과 넓은 잔디 정원은 아이들이 신나게 뛰어놀기에 매우 적합하다.
주변 관광지로는 세미원/ 아침고요수목원/ 영화종합촬영소/ 대명비발디파크/ 수상레져/ 용문산 등 많은 관광지가 있다. 인근 북한강에서 수상 레포츠와 환상적인 드라이브 코스를 즐길 수 있으며 분위기 좋은 양수리 카페촌이 있어 좋은 추억 또한 담아갈 수 있다.",nan,20명,2실,독채/ 풍경,가능,가능,15:00,익일 11:00,010-9265-7323,"<a href=""https://smartsotre.naver.com/lesson4154"" target=""_blank"" title=""새창: 자연향기펜션 홈페이지로 이동"">https://smartsotre.naver.com/lesson4154</a>",nan,nan
물소리새소리(양평),031-774-5011,경기도 양평군 서종면 무드리2길 57-1,북한강과 벽계천이 한눈에 보이는 낭만과 행복이 살아 숨 쉬는 ‘물 소리 새소리 펜션’은 양수리에 위치해 있다. 서울에서 1시간 거리 내에 위치해 있어 교통도 편리하다. 고급형 펜션으로 2층건물 2동과 독채로 이루어져 있고 넓은 주차장은 물론 펜션 주변에 산과 강이 감싸고 있어 더욱 아늑하게 지낼 수 있다.<br>펜션 정원에 봄에는 개나리/ 진달래가 피고 여름에는 푸른 녹음들이 가득하고/ 가을에는 빨간 단풍과 노란 은행잎이 운치를 더해주며 겨울에는 하얀 눈이 가득 쌓여 4계절의 변화 무쌍한 모습을 보여주고 있다. 족구를 할 수 있는 넓은 공간과 펜션 옆의 강에서 물고기를 잡을 수 있는 특별한 경험도 할 수 있다.,2/000여평,93명,11실,원룸/ 커플복층/ 가족룸/ 독채,가능,가능,14:30(성수기 15:00),익일 11:00,031-774-5011,"<a href=""http://www.mulsaesori.com"" target=""_blank"" title=""새창 : 물소리새소리 홈페이지로 이동"">http://www.mulsaesori.com</a>",가능(사전문의),nan
해피스테이션 기차펜션,033-563-8787,강원특별자치도 정선군 여량면 노추산로 745,기나긴 세월 정선 주민들과 희로애락을 함께 했던 정선 구절리역 레일 위에 레일바이크/ 여치 카페에 이어 기차펜션 ‘해피스테이션’ 이란 새로운 이름으로 여행객을 맞이한다. 기관차 1량/ 폐객차 4량을 개조하여 모두 9개의 객실로 되어 있고 관광객의 취향에 맞게 한실과 양실로 구성되어 있으며 월풀 욕조를 비롯하여 컴퓨터/ LCD TV/ 정수기 등 최신식 시설을 모두 갖추어 호텔 못지않은 시설을 자랑한다. 특히 기차 구조상 좁은 객실의 단점을 보완하여 송천강변 방향으로 테라스를 넓게 설치하여 가족 또는 연인과 함께 구절리의 아름다운 전경을 감상할 수 있다.,nan,nan,9실,통일호/ 무궁화호/ 새마을호,주차 가능,불가,14:00,11:00,033-563-8787,"<a href=""http://www.railbike.co.kr"" target=""_blank"" title=""새창 : 정선레일바이크 홈페이지로 이동"">http://www.railbike.co.kr</a>",nan,카페
그린하이츠모텔,031-944-4868,경기도 파주시 월롱면 한태말길 4,경기도 파주시에 위치한 그린하이츠모텔은 3층짜리 벽돌 건물로 지어진 모텔이다. 객실 내부로 들어서면 세련된 가구와 깔끔한 벽지의 조화가 편안한 분위기를 조성한다. TV/ 에어컨/ 미니 냉장고/ 화장대/ 티 테이블이 마련되어 있다. 화장실은 청결하게 청소되어 있고/ 욕조가 있어 피곤함을 풀며 휴식을 취할 수 있다.,nan,84명,24실,nan,가능,불가능,16:00,익일 12:00,031-944-4868,nan,nan,nan
통나무집펜션,010-4088-4200,인천광역시 옹진군 영흥면 영흥로 702,영흥도 장경리 해수욕장 입구에 위치한 예쁜 통나무집펜션은 단체 야유회/ 갯벌체험/ 바비큐장/ 족구장/ 바다 조망이 가능하다. 또한 예쁜 커플룸/ 가족룸/ 단체룸 그리고 사계절 이용 가능한 바비큐장이 있다. 대형 주차장 및 각종 편의시설이 잘 갖추어져 있어 편안하고 행복한 여행이 될 수 있다.,2층,nan,10실,원룸/ 가족룸/ 단체룸,가능,가능,15:00,익일 11:00,032-886-2525/ 010-4088-4200,"<a href=""http://www.yhcabin.com"" target=""_blank"" title=""새창 : 통나무집펜션 홈페이지로 이동"">http://www.yhcabin.com</a>",nan,nan
한우리펜션,010-9148-9723,강원특별자치도 영월군 무릉도원면 술면길 6-5,상쾌한 바람과 시원한 자연 숲을 느낄 수 있는 언덕 위에 아담하게 세워져 있는 깨끗하고 조용한 곳이다. 뒤편으로는 상쾌한 숲이 우거져 있고 앞 편 아래의 작은 길 건너에는 산 정상부터 내려오는 깨끗하고 시원한 계곡이 있다.,2층,nan,6실,8평형/ 13평형/ 15평형/ 35평형,가능,가능,14:00,익일 12:00,010-9148-9723/ 010-3746-0876,"<a href=""http://www.hanwori.net"" target=""_blank"" title=""새창 : 한우리펜션 홈페이지로 이동"">http://www.hanwori.net</a>",nan,nan
달빛마을,033-592-9694,강원특별자치도 정선군 사북읍 말고개길 90-11,강원도의 멋진 정취와 낭만이 있는 곳 달빛마을 펜션은 동서울에서 3시간이면 갈 수 있으며 좋은 휴식과 놀이가 있는 곳이다.,nan,80명,5실,nan,주차 가능,가능,15:00,12:00,033-592-9694,"<a href=""http://www.gomoonlight.co.kr"" target=""_blank"" title=""새창 : 달빛마을 홈페이지로 이동"">http://www.gomoonlight.co.kr</a>",가능(사전문의),nan
엄둔가자화이트펜션,033-374-9466,강원특별자치도 영월군 무릉도원면 엄둔길 529-1,엄둔가자화이트 펜션은 강원도 영월 치악산 자락에 엄둔계곡 최상류에 위치한 청정지역에 자리한 펜션으로 맑은 물과 공기 속에서 즐겁고 편안한 휴가를 보낼 수 있는 곳이다.,2층,nan,2실,18평형/ 38평형,주차가능,가능,14:00,12:00,033-374-9466/ 010-3710-9467,"<a href=""http://jaws55.wixsite.com/gajawhite"" target=""_blank"" title=""새창 : 가자화이트펜션 홈페이지로 이동"">http://jaws55.wixsite.com/gajawhite</a>",nan,nan
펜션포유,nan,강원특별자치도 인제군 인제읍 고사리길 73,펜션포유는 산 좋고 물 맑은 인제 내린천에 있는 휴양림 속의 유럽형 펜션이다. 펜션 바로 앞에는 1급수의 계곡물이 흐르고 있고/ 사방 수려한 소나무 숲과 신선한 공기는 저절로 기분이 좋아지게 만든다.<br>,2층,nan,5실,원룸(침대/온돌)/ 투룸,가능,가능,14:00,익일 12:00,nan,nan,가능(사전문의),nan
물소리바람소리펜션,055-972-8360,강원특별자치도 정선군 북평면 오대천로 412,물소리바람소리펜션은 아리랑의 고장 강원도 정선에 위치한 청정 자연을 벗 삼아 쉬어 가실 수 있는 펜션(민박)이다. 객실 창으로 들여다 보이는 백석폭포와 주변 절경은 그 어느 관광지에 뒤지지 않을 만큼 빼어난 경치를 감상할 수 있으며 뒤안길로 내려가면 1급수를 자랑하는 숙암계곡을 끼고 있어 물놀이와 낚시를 편안히 즐길 수 있다. 텃밭에선 숯불구이와 티 테이블도 마련되어 있어 경치를 감상하며 식사를 하거나 커피 한잔의 여유를 느낄 수 있다.,nan,nan,11실,nan,주차 가능,가능,14:00,익일 11:00,055-972-8360,nan,nan,nan
아름다운기억,033-435-6916,강원특별자치도 홍천군 두촌면 가리산길 75-14,유럽풍의 정통 목조 건축물로/ 홍천군의 상징인 날씬한 몸매와 희소식의 예견/ 외유내강의 모습을 갖춘 까치와 닮은 그런 곳이며/ 주인장 또한 큰 형님의 모습처럼 넉넉한 미소로 여러분을 맞이한다.,2층,nan,5실,원룸형,가능,가능,15:00,익일 11:00,033-435-6916/ 010-3712-6915/ 010-4330-0365,"<a href=""http://www.bmpension.net"" target=""_blank"" title=""새창 : 아름다운 기억 홈페이지로 이동"">http://www.bmpension.net</a>",가능(사전문의),nan
구름에달가듯이,031-774-3020,경기도 양평군 강상면 독배길 34,부드러운 미풍에 구름에 달가듯이 조용히 흐르는 밤하늘과 눈부시게 아름다운 야경을 품고있는 남한강이 너무나 잘어울리는 통나무형 펜션이다. 넓은 객실이 있어 회사 워크샵 및 단체여행/ 대가족 모임등에 최적화된 곳으로 서울에서 가까이 위치하여 부담없이 여행을 즐길 수 있다.,복층 독채,nan,1실,복층형 독채(1층 : 룸3+거실+주방+욕실+화장실 / 2층 : 룸2+거실+욕실2),가능,가능,15:00,익일 11:00,031-774-3020,"<a href=""http://namsichon.com"" target=""_blank"" title=""새창 : 구름에달가듯이 홈페이지로 이동"">http://namsichon.com</a>",nan,nan
몽산포파인펜션,010-8889-4469,충청남도 태안군 남면 몽산포길 142,몽산포파인펜션은 총 20개의 객실이 있으며 40평형 20인 수용 가능한 대형 객실도 있다. 내부시설은 기본이며 간단한 세면도구만 챙겨오시면  편안한 휴식을 즐길 수 있다. 충남 태안군 남면 신장리와 달산리를 중심으로 펼쳐진 몽산포 해수욕장은 태안 해안 국립공원구역에 포함되어  있다. 썰물 때의 조개나 맛잡이는 몽산포가 지닌 멋진 낭만이 아닐 수 없다. 펜션에서 몽산포 해수욕장까지 도보 2분이면 갈 수 있어 갯벌체험과 해수욕을 즐길 수 있다.,3층,nan,20실,온돌형/ 침대형,가능,가능,15:00,익일 11:00,010-8889-4469,"<a href=""http://pineps.kr"" target=""_blank"" title=""새창 : 몽산포파인펜션 홈페이지로 이동"">http://pineps.kr</a>",가능(사전문의/비수기주말),nan
썬라이즈펜션,041-674-9998,충청남도 태안군 원북면 옥파로 1155,썬라이즈 펜션은 두개로 나누어진 학암포 해수욕장 정중앙에 위치하고/ 넓은 주차장과 다양한 평수의 객실을 보유하고 있어 연인/ 가족들이 방문하기에 더할 나위 없이 좋다.학암포 해수욕장이 한눈에 들어오며/ 층층마다 야외에서 바다를 보면서 음식을 즐겨 먹을 수 있는 공간도 있다. 또한 넓은 옥상에서는 바라보는 그림같이 펼쳐진 바다는 가슴을 시원하게 만들어 준다.,3층,nan,13실,커플룸(4실)/ 가족룸(7실)/ 단체룸(2실),가능,가능,14:00,익일 11:00,041-674-9998,nan,nan,nan
멜로즈펜션,010-7275-8930,강원특별자치도 홍천군 서면 개야마을길 166,"강원도 홍천 서면에 있는 멜로즈펜션은 전 객실에서 바로 앞 홍천강이 보이고 여름엔 다슬기 채집/ 물놀이/ 낚시/ 무료 대여 해드리는 카약 타기 등 다양한 놀거리들이 있으며 겨울에는 무료로 이용할 수 있는 썰매를 타고 빙어 잡기 등 눈놀이를 할 수 있다.
주변으로는 비발디파크/ 오션월드가 15분 거리/ 쁘띠쁘랑스/ 남이섬이 30분 거리/ 양떼목장 15분 거리등 다양한 놀거리 볼거리 관광지가 많이 있어 친구/ 애인/ 가족들과 행복한 힐링 시간을 보낼 수 있다.",3층,nan,5실,커플룸/ 가족룸,가능,가능,15:00,익일 12:00,nan,nan,가능(사전문의),nan
하나펜션,0507-1446-4995,경기도 여주시 산북면 광여로 1432-14,경기도 여주시에 위치한 하나펜션은 커플/ 패밀리/ 단체 여행객이 머물기에 적합한 펜션이다. 경기도 양평과 여주/ 광주가 만나는 곳 자연의 숲 백자리에 있다. 하나펜션은 서울에서 1시간 남짓 거리에 있으며 곤지암에서는 약 20분 거리/ 양평과 가까운 여주에 위치하고 있다.,nan,nan,6실,커플/ 가족/ 단체,가능,가능,14:00,익일 12:00,nan,nan,nan,nan
남해펜션타운,010-2554-0594,경상남도 남해군 이동면 남해대로1745번길 83,남해펜션타운은 푸른 남해가 한눈에 내려다 보이는 곳에 자리 잡고 있다. 넓은 잔디 운동장과 영상 및 음향시설을 갖춘 세미나실과 식당이 있어 기업연수 및 세미나/ 운동선수들의 전지훈련장으로 적합하다. 이곳에 머무르는 동안 모든 분들이 편히 쉴 수 있고 지친 마음의 재충전을 하실 수 있도록 지은 것 하나하나까지 준비했다. 커플/ 가족/ 대규모 단체 손님에 이르기까지 불편함 없이 지낼 수 있는 남해 최고의 펜션이다.,3층,nan,24실,펜션동(15평형/25평형)/ 펜션텔(11평형/15평형)/ 독채,주차 가능,가능(펜션동/독채만 가능),15:00,11:00,010-2554-0594,"<a href=""http://www.npensiontown.net/"" target=""_blank"" title=""새창 : 남해펜션타운으로 이동"">http://www.npensiontown.net</a>",nan,nan
지리산맑은물펜션,063-636-0003,전북특별자치도 남원시 산내면 지리산로 1256,영원한 힐링 안식처 지리산 속의 전망좋은 지리산맑은물펜션으로 초대한다. 태곳적 신비를 고이간직한채 영겁의 세월을 묵묵히 지켜온 우리나라 최고의 명산 지리산 그리고 사계절 속에 각양각색 아름다움을 가지고 있는 꽃들과 장장 14km에 걸쳐 주변을 흐르고 있는 물줄기들의 항연이 펼쳐지는 뱀사골에 자리매김한 자리산맑은물펜션이다. 지친 일상 속을 벗어나 삶의 무게를 내려놓고 잊고 있었던 자신을 돌봐주며 어제보다 오늘의 행복을 느끼며 편안한 휴식을 즐겨볼 수 있다.,nan,nan,19실,8평형/ 15평형/ 20평형,가능,가능,14:00,익일 11:00,063-636-0003,"<a href=""http://지리산뱀사골.com"" target=""_blank"" title=""새창 : 지리산맑은물펜션 홈페이지로 이동"">http://지리산뱀사골.com</a>",nan,식당/ 바베큐장
경포우성펜션,033-644-5048,강원특별자치도 강릉시 경포로463번안길 9-3,"경포우성펜션은 강릉 경포호수 옆 경포대 정자에서 바다쪽으로 호수를 따라 1.2km 정도 지나다 보면 송림으로 가려져 사람들의 눈에 잘 띄지 않는 곳에 자리 잡고 있다. 20m 정도의 높이로 군락을 이루고 있는 송림은 바닷가에서만 볼 수 있고/ 경포우성펜션만의 자랑이다. 
경포우성펜션의 객실은 각각 테라스를 갖고 있어 객실에서 한 걸음만 내딛으면 바다와 호수가 보인다. 부엌/ 화장실/ 가전제품 등 객실 내 모든 것이 갖춰져 있다. 경포해수욕장까지 도보로 5분 정도가 소요되며/ 경포 호수에는 조깅 코스가 마련되어 있어서 조깅 또는 자전거 하이킹 장소이다. 주변에는 정동진/ 오대산/ 오죽헌/ 선교장 등이 있으며/ 겨울에는 용평스키장에서 스키를 즐기고/ 밤에는 겨울 바다와 경포호수를 벗 삼아 회를 먹을 수 있다.",nan,nan,5실,커플룸/ 가족룸/ 복층,가능,가능,14:00,익일 12:00,033-644-5048/ 010-9386-9048,"<a href=""http://kyungpopension.com"" target=""_blank"" title=""새창 : 경포우성펜션 홈페이지로 이동"">http://kyungpopension.com</a>",가능(사전문의),nan
이비스 앰배서더 수원,031-230-5000,경기도 수원시 팔달구 권광로 132,이비스 앰배서더 수원 호텔은 수원의 중심지인 인계동에 위치해 있다. 호텔 근처에 다양한 편의 시설/ 수원시청역/ 인천국제공항과 김포공항 리무진 정류장이 가까이 있으며/ 주요 비즈니스 중심지에 위치해 있다. 이 밖에 쇼핑/ 레스토랑 및 다양한 문화 활동을 가까운 거리에서 즐길 수 있어 비즈니스/ 레저고객 모두가 선호하는 최고의 호텔이다.,지상 15층 / 지하 6층,nan,240실,스탠다드/ 슈페리어/ 스위트,주차 가능(450대),불가,14:00,12:00,031-230-5000,nan,nan,nan
JFK호텔 마스타대천,041-930-2100,충청남도 보령시 대해로 876,"대천해수욕장에 위치한 JFK호텔 마스타대천은 4/200여 평 부지 위에 자리 잡은 국내 최초의 비치형 워터파크로 천혜의 자연환경을 자랑하는 아름다운 해변과 워터파크의 다이나믹한 즐거움을 함께 할 수 있다.
또한 바다가 조망되는 호텔과 격조 높은 연회장 그리고 싱싱한 식자재를 바탕으로 한 식음시설 및 연중 열리는 크고 작은 이벤트까지 자연과 인간/ 건강과 문화가 한데 어우러져 사계절 종합 휴양지로서 국내 새로운 해양레저 문화에 앞장서고 있다. 서해안 고속도로 개통으로 서울 수도권에서 2시간대면 도착하는 호텔은 주변 관광지와의 접근성도 뛰어나 다양한 문화 체험도 가능하다.
매달 두 차례씩 모세의 기적이 일어나는 무창포 해수욕장을 비롯해 크고 작은 78개의 섬/ 서해의 명산 오서산과 단풍이 아름다운 성주산/ 아미산 그리고 고대의 사찰 성주사지/ 오천성 등 풍부한 문화 관광지가 가까운 거리에 있어 탁월한 입지 조건을 자랑한다. 휴식과 충전을 주는 편안한 객실은 여행의 또 다른 즐거움이다. 
또한 대천 해변이 보이는 아름다운 경관은 이제껏 경험하지 못한 새로운 휴식을 선사할 것이다. 호텔 내에는 레스토랑/ 테이크아웃 등의 식음시설을 비롯해 기념품점과 렌탈샵 그리고 각종 예식 및 행사를 진행할 수 있는 대연회장/ 중연회장 등이 있다.",nan,nan,55실,스탠다드 온돌/트윈/ 스위트 제이드/루비/ 펄 스위트,nan,불가,15:00,익일 11:00,nan,nan,nan,nan
토브의 강가,031-771-5590,경기도 양평군 용문면 용문삼성로20번길 73-12,"펜션 '토브의 강가'는 맑은 공기/ 청정한 물/ 깨끗한 계곡으로 알려진 칠읍산(용문면 삼성리) 기슭의 대지 700여평에 단체동(120평)과 가족/ 커플동(100평)으로 구성된 펜션이다. 펜션앞에는 남한강 줄기안 넓은 신내천과 바로 뒤에는 추읍산이 있다.
또한 친환경 무공해 원목자재와 향목을 사용하여 자연친화적이며/ 지하 200m의 암반수를 식수로 이용한다. 또한 주위엔 소나무와 밤나무로 둘러싸여있어 가을이면 맘껏 밤을 주울 수 있다. 사계절의 향기와 꿈이 있는 곳에서 일상생활의 쉼표/ 단체모임/ 워크샵/ 수련회장소/ 커플/ 가족여행의 힐링을 기대한다.",2층,nan,6실,20평형/ 25평형/ 120평형,nan,가능,15:00,익일 11:00,031-771-5590,"<a href=""http://www.tovs.co.kr/"" target=""_blank"" title=""새창 : 토브의 강가 홈페이지로 이동"">http://www.tovs.co.kr/</a>",가능(사전문의),nan
